reneged 2792.446162 2341.673698 597.028657
condolence 388.258460 415.839093 118.583434
grafting 412.650605 95.210473 365.398549
swatted 352.813783 167.579364 381.197561
tambourine 556.727033 164.004232 557.270383
pshaws 236.812938 676.435707 910.095888
cooks 925.994704 1048.081212 211.687829
impairs 214.914876 569.357366 389.194872
repayable 166.741060 165.679687 14.961961
avoids 180.841912 977.333254 1051.117581
beholds 2306.416358 2051.326642 537.078637
reliving 781.531003 69.786350 845.242859
villager 637.244657 363.781018 911.373163
schlep 1405.831308 909.646518 929.896730
persuasiveness 2612.270131 1405.652092 1787.284329
fleetness 703.218205 2344.836163 2083.741416
champs 955.852885 1292.679278 344.191620
carousal 121.541699 247.887495 315.323113
stockiness 386.971285 2133.733816 2411.617261
plural 906.752794 1071.804564 1311.618006
uptakes 366.488600 1554.834826 1553.787872
grandstanding 1175.909973 1197.991244 388.058271
appraising 1203.735984 1573.980835 2073.196732
quietus 1915.563298 315.321334 1836.349393
piquancy 677.842413 1309.366389 1166.971948
unwind 410.694944 208.669486 214.474839
prolongations 2058.577391 1006.101302 2166.775675
resales 529.622887 89.527534 460.510477
obloquy 1399.969596 406.843712 1651.114336
schoolboy 323.824944 566.960900 592.189983
handout 1619.564304 1445.145420 708.536253
interlard 87.839115 1435.320375 1429.344410
tacky 2756.795994 2153.005535 743.776746
archenemies 130.865667 296.241167 225.698895
storehouse 1466.077519 1466.500270 192.273755
sheepskins 1705.835457 206.760666 1694.084567
windsock 992.507274 204.230680 880.904514
tridents 176.983214 2672.725526 2771.039656
rebels 474.023152 496.935981 191.552266
impenitents 1252.167897 1109.225559 523.726590
plaids 56.127286 57.974612 94.546840
playthings 665.891068 974.307949 411.798258
disenchanted 1945.116888 811.139647 1487.269449
kleptomania 125.083930 123.651786 159.090337
calibrator 2413.190823 1329.669336 2022.582340
parings 1053.303317 1030.067784 1925.436323
arrowroot 1978.151153 1877.535690 206.098011
bushmen 469.096445 208.919896 263.243811
carbohydrate 1352.593177 1487.440495 693.428682
intersperses 1269.210010 2473.690044 1641.261632
goodbye 1817.630355 1603.309519 903.915567
sogginess 61.638460 58.351993 8.839859
sightless 222.236434 380.136228 390.732489
bandies 2592.541869 2678.652226 157.093812
daydreaming 6.486888 46.492775 43.662424
acquiescing 86.273528 290.370607 297.862265
journeying 2091.571739 135.104444 2205.309778
indorsing 2210.000785 1726.019057 1707.591627
reassurances 347.823352 2634.749158 2319.876530
grounder 1405.039199 2158.438258 1131.260486
procure 773.594822 1483.948932 1386.535524
inshore 55.211121 277.129317 312.273995
making 2671.869279 2685.877699 291.076676
raffling 2398.141754 156.153732 2268.365160
fiberglass 2293.263066 780.828840 1670.073639
incarcerations 2021.858543 1786.467414 1353.067966
islands 214.384178 108.137420 292.195323
pretzels 4.986824 303.048087 298.695114
prolix 2643.871593 369.752189 2446.131905
creation 2159.161987 2281.158315 1240.431528
dewier 1355.463276 757.043248 786.677859
digresses 488.020627 1335.557501 1446.282316
inclining 575.838392 1263.396346 1828.301090
inasmuch 2617.266983 2516.014736 157.773203
vulgarize 231.035926 9.779474 232.019856
planters 2536.347359 1032.768806 1733.583352
blockade 1471.195262 1358.319357 165.826831
seas 1635.192169 1733.547397 453.599487
complected 274.842113 333.909097 156.350707
spaceman 282.814808 237.214190 49.363450
junkier 2059.152518 1539.202410 2205.115176
disproves 3.527537 2.223560 2.876309
majesties 2270.246620 2377.737065 535.548351
tranquil 546.192844 1768.421264 1602.111652
dismantle 226.562741 1554.945113 1570.057902
nonbeliever 2471.611267 1360.726385 1909.510822
instant 116.643083 117.054774 173.906344
picketed 861.553825 547.046264 735.597527
conversion 666.439968 305.544704 908.034013
benumbed 1743.766960 57.148107 1742.818232
currants 812.695014 661.048173 1067.456337
ciphered 978.514594 2033.391027 2565.103127
mutilated 565.796536 59.751067 581.624650
facilitating 449.129878 222.591471 231.054966
previewer 266.108521 50.671585 245.500910
stability 2065.227795 2222.292164 1205.827985
